accommodates,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price
7,3,Real Bed,3,4,1,flexible,1,t,f,1,f,14,0,House,,,,,,Entire home/apt,$250.00 
7,2.5,Real Bed,4,3,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$499.00 
16,3,Real Bed,5,11,1,strict,4,t,f,1,f,30,4,House,10,10,10,100,10,Entire home/apt,$599.00 
4,1,Real Bed,2,2,1,moderate,0,t,f,1,f,1125,15,Apartment,10,10,10,100,10,Entire home/apt,$149.00 
2,1,Real Bed,1,1,2,strict,2,t,t,2,f,30,10,House,10,10,10,100,10,Private room,$85.00 
2,1,Real Bed,1,1,1,flexible,0,t,f,1,t,30,0,Bungalow,,,,,,Private room,$110.00 
1,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,2,House,9,10,10,90,10,Private room,$48.00 
2,1,Real Bed,1,1,1,moderate,2,t,f,1,f,1125,0,House,,,,,,Private room,$89.00 
6,1,Real Bed,2,2,1,strict,2,t,t,1,f,14,54,Bed & Breakfast,10,10,10,100,10,Entire home/apt,$165.00 
2,1,Real Bed,1,1,1,moderate,1,t,t,1,f,1125,19,House,10,10,10,97,9,Entire home/apt,$115.00 
12,2.5,Real Bed,6,8,2,strict,1,t,f,301,f,1125,0,House,,,,,,Entire home/apt,$909.00 
4,1,Real Bed,1,1,1,strict,2,t,f,1,f,1125,2,Cabin,10,10,10,100,10,Entire home/apt,$135.00 
3,1,Real Bed,0,1,1,moderate,2,t,f,1,f,1125,4,House,10,10,10,100,10,Entire home/apt,$75.00 
3,1,Real Bed,1,2,1,moderate,3,t,t,1,t,7,38,House,10,10,10,96,9,Entire home/apt,$145.00 
2,1,Real Bed,1,1,1,moderate,2,t,f,1,f,1125,20,Apartment,10,10,10,100,10,Entire home/apt,$125.00 
6,2,Real Bed,3,3,1,moderate,1,t,f,1,f,1125,1,House,10,10,8,91,8,Entire home/apt,$350.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,5,0,House,,,,,,Entire home/apt,$130.00 
2,1,Real Bed,1,1,1,strict,2,t,f,2,t,365,13,House,10,10,9,94,9,Private room,$59.00 
2,1.5,Real Bed,1,1,1,moderate,1,t,f,1,f,7,12,House,10,10,10,100,10,Private room,$89.00 
10,3.5,Real Bed,5,7,1,flexible,10,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$600.00 
2,1,Real Bed,1,1,2,flexible,1,t,f,2,f,1125,0,House,,,,,,Private room,$150.00 
2,2,Real Bed,1,1,1,flexible,2,t,t,2,f,1125,26,House,10,10,10,98,10,Private room,$65.00 
4,1,Real Bed,1,2,1,flexible,2,t,f,1,f,1125,3,Bed & Breakfast,10,10,10,100,10,Entire home/apt,$175.00 
4,1,Real Bed,2,2,1,flexible,1,t,t,1,f,1125,47,House,10,10,10,100,10,Entire home/apt,$150.00 
2,1,Real Bed,1,1,2,flexible,1,t,f,2,f,30,0,House,,,,,,Private room,$450.00 
16,6,Real Bed,6,7,1,strict,1,t,f,1,f,28,0,Other,,,,,,Entire home/apt,"$6,500.00 "
4,2.5,Real Bed,2,2,1,strict,2,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$249.00 
1,1,Real Bed,1,2,1,moderate,1,t,f,1,f,14,2,Apartment,10,9,9,80,9,Shared room,$75.00 
2,1,Real Bed,1,1,1,strict,1,t,f,1,f,1125,0,House,,,,,,Private room,$120.00 
2,2,Real Bed,1,1,1,flexible,1,t,f,5,f,14,1,Bed & Breakfast,10,10,8,80,8,Private room,$75.00 
4,1,Real Bed,2,2,1,moderate,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$300.00 
4,1,Real Bed,1,1,1,moderate,2,t,f,1,f,1125,1,House,10,10,10,100,10,Private room,$79.00 
4,1,Real Bed,1,2,1,flexible,3,t,f,1,f,1125,56,Loft,10,10,10,96,9,Entire home/apt,$109.00 
3,1,Real Bed,1,1,1,strict,3,t,f,1,f,30,90,House,10,10,10,96,10,Private room,$88.00 
5,1,Real Bed,1,3,2,strict,4,t,f,2,f,1125,11,House,10,10,10,96,10,Entire home/apt,$115.00 
4,1,Real Bed,0,2,1,moderate,3,t,t,1,f,1125,8,House,10,10,10,100,9,Entire home/apt,$144.00 
3,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,Apartment,,,,,,Entire home/apt,$200.00 
4,1,Real Bed,2,2,1,flexible,2,t,f,1,f,1125,0,Apartment,,,,,,Entire home/apt,$150.00 
8,3.5,Real Bed,4,5,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$699.00 
6,2,Real Bed,3,4,1,flexible,6,t,f,1,f,1125,2,House,10,10,10,99,10,Entire home/apt,$625.00 
3,1,Real Bed,2,3,1,strict,3,t,f,2,f,7,20,House,10,10,9,90,9,Entire home/apt,$102.00 
3,1,Real Bed,2,2,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$250.00 
3,1,Real Bed,1,1,2,strict,1,t,f,2,f,6,8,Apartment,10,9,9,95,9,Entire home/apt,$70.00 
3,1,Real Bed,1,1,1,moderate,1,t,f,1,t,1125,0,Apartment,,,,,,Entire home/apt,$119.00 
2,1,Real Bed,1,2,1,strict,1,t,f,1,f,60,1,House,10,8,8,89,8,Private room,$300.00 
4,2,Real Bed,2,2,1,strict,1,t,f,1,f,60,30,Other,10,10,10,94,9,Entire home/apt,$199.00 
2,1,Real Bed,1,1,1,flexible,1,t,t,1,f,1125,61,Apartment,10,10,10,98,10,Entire home/apt,$97.00 
6,1,Real Bed,2,3,1,strict,2,t,t,1,t,1125,46,House,10,10,10,95,9,Entire home/apt,$125.00 
2,1,Real Bed,1,1,4,strict,2,t,f,4,t,1125,5,Apartment,10,10,10,100,10,Entire home/apt,$97.00 
4,1,Real Bed,1,2,1,flexible,4,t,f,1,f,1125,5,Loft,10,10,8,92,9,Entire home/apt,$118.00 
4,1,Real Bed,2,2,4,strict,2,t,f,4,t,30,32,Apartment,9,9,8,88,9,Entire home/apt,$163.00 
8,3,Real Bed,4,4,1,flexible,1,t,f,1,f,7,0,House,,,,,,Entire home/apt,$400.00 
3,1,Real Bed,2,2,3,flexible,1,t,f,3,f,1125,1,Apartment,10,10,10,100,10,Entire home/apt,$125.00 
5,1,Real Bed,2,2,2,moderate,4,t,t,2,f,1125,50,House,10,10,9,96,10,Entire home/apt,$169.00 
